"EIN","FORM_2016","FORM_2017","FORM_2018","FORM_2019","FORM_2020","FORM_2021","TOT"
42457732,"pc","pc","pc","pc","","pc",5
42476258,"pc","pc","pc","pc","pc","pc",6
42478888,"pc","pc","pc","pc","","pc",5
42483221,"pc","pc","pc","pc","pc","pc",6
42483322,"pc","pc","pc","pc","pc","",5
42516093,"pc","pc","pc","pc","","pc",5
42518368,"pc","pc","pc","pc","pc","pc",6
42519279,"pc","pc","pc","","pc","pc",5
42529221,"pc","pc","","ez","ez","ez",5
42531287,"pc","pc","pc","pc","pc","pc",6
42546441,"pc","pc","pc","pc","pc","pc",6
42614551,"pc","pc","pc","pc","pc","pc",6
42619517,"pc","pc","pc","pc","pc","pc",6
42622178,"pc","pc","","pc","pc","pc",5
42622751,"pc","pc","pc","pc","pc","",5
42636101,"pc","pc","pc","pc","","pc",5
42638453,"pc","","pc","","pc","pc",4
42652919,"pc","pc","pc","pc","pc","pc",6
42655817,"pc","pc","","pc","pc","pc",5
42660283,"pc","pc","pc","pc","pc","pc",6
42666507,"pc","pc","pc","pc","pc","pc",6
42678309,"pc","pc","pc","pc","","pc",5
42681632,"pc","pc","pc","pc","pc","pc",6
42684781,"pc","pc","pc","pc","pc","pc",6
42685432,"pc","pc","pc","pc","pc","pc",6
42686893,"pc","pc","pc","pc","pc","pc",6
42690210,"","pc","pc","pc","pc","pc",5
42692763,"pc","pc","pc","pc","pc","pc",6
42716278,"pc","pc","pc","pc","pc","pc",6
42716728,"pc","pc","","pc","pc","pc",5
42731302,"pc","pc","pc","pc","pc","pc",6
42732439,"pc","pc","pc","","pc","pc",5
42732718,"pc","pc","pc","pc","pc","pc",6
42733078,"pc","pc","pc","pc","","",4
42736725,"pc","pc","pc","pc","pc","pc",6
42737054,"pc","pc","pc","pc","pc","pc",6
42741009,"pc","pc","pc","pc","pc","",5
42741543,"pc","pc","pc","pc","pc","pc",6
42743779,"pc","pc","pc","pc","pc","pc",6
42748880,"pc","pc","pc","pc","pc","",5
42752507,"pc","pc","pc","pc","pc","pc",6
42754284,"pc","pc","pc","pc","pc","pc",6
42755270,"pc","pc","pc","pc","pc","pc",6
42755382,"pc","pc","pc","pc","pc","pc",6
42760272,"pc","pc","pc","pc","pc","pc",6
42761591,"pc","pc","pc","pc","pc","",5
42762580,"pc","pc","pc","pc","pc","pc",6
42763724,"pc","pc","pc","pc","","pc",5
42774010,"","","pc","pc","pc","",3
42777769,"pc","pc","pc","pc","pc","pc",6
42788175,"pc","pc","pc","pc","pc","pc",6
42859066,"pc","pc","pc","pc","pc","pc",6
42881348,"pc","pc","pc","pc","pc","pc",6
42886494,"pc","pc","pc","","pc","",4
42898893,"pc","pc","pc","pc","pc","pc",6
42921318,"pc","pc","pc","pc","pc","pc",6
42921465,"pc","pc","pc","pc","pc","pc",6
42925846,"pc","pc","pc","pc","pc","pc",6
42933012,"pc","pc","pc","pc","pc","pc",6
42944144,"pc","pc","pc","pc","pc","pc",6
42961787,"pc","pc","pc","pc","pc","pc",6
42964630,"pc","pc","pc","pc","pc","pc",6
42970982,"pc","","pc","pc","pc","pc",5
42982308,"pc","pc","pc","pc","pc","pc",6
42983365,"pc","pc","","pc","","pc",4
42988263,"pc","pc","pc","pc","pc","pc",6
43010725,"pc","pc","pc","pc","pc","pc",6
43023407,"","pc","pc","pc","pc","pc",5
43029411,"pc","pc","pc","pc","pc","pc",6
43036200,"pc","pc","pc","pc","pc","pc",6
43074487,"pc","pc","pc","pc","pc","pc",6
43085298,"","","ez","ez","","ez",3
43100105,"pc","","pc","pc","pc","pc",5
43118543,"pc","","pc","pc","pc","",4
43124357,"","pc","pc","pc","pc","pc",5
43131333,"pc","pc","pc","pc","pc","pc",6
43141970,"","","ez","ez","ez","",3
43159643,"pc","pc","pc","pc","pc","pc",6
43159877,"pc","pc","pc","pc","pc","pc",6
43165044,"pc","pc","pc","pc","pc","pc",6
43172737,"pc","pc","","pc","pc","pc",5
43176887,"pc","pc","pc","pc","pc","pc",6
43206608,"pc","pc","pc","pc","","pc",5
43216873,"pc","pc","pc","pc","pc","pc",6
43223633,"pc","pc","pc","","pc","pc",5
43230028,"pc","pc","pc","pc","pc","pc",6
43239046,"pc","pc","pc","pc","pc","pc",6
43241596,"pc","pc","pc","","pc","pc",5
43244024,"pc","pc","pc","pc","pc","",5
43246555,"pc","pc","pc","pc","pc","pc",6
43247717,"pc","pc","pc","pc","pc","",5
43271457,"pc","pc","pc","pc","pc","pc",6
43280116,"pc","pc","pc","pc","pc","pc",6
43282997,"pc","pc","pc","pc","pc","",5
43286347,"pc","pc","pc","pc","pc","pc",6
43289039,"pc","pc","pc","pc","pc","pc",6
43290004,"pc","pc","ez","ez","","ez",5
43299189,"pc","pc","pc","pc","","pc",5
43320522,"pc","","pc","pc","pc","pc",5
43322638,"pc","pc","pc","pc","pc","pc",6
43330633,"pc","pc","pc","pc","","pc",5
43331491,"pc","pc","pc","pc","pc","pc",6
43333866,"pc","pc","pc","pc","pc","pc",6
43337726,"pc","pc","pc","pc","pc","pc",6
43355127,"pc","pc","pc","pc","pc","pc",6
43362851,"pc","pc","pc","pc","pc","pc",6
43364974,"pc","pc","pc","pc","pc","",5
43370097,"pc","","pc","pc","pc","pc",5
43371170,"pc","pc","pc","pc","pc","pc",6
43408855,"ez","pc","pc","pc","pc","pc",6
43458096,"pc","pc","pc","pc","pc","pc",6
43460139,"pc","pc","pc","pc","pc","pc",6
43469536,"pc","pc","pc","pc","pc","pc",6
43490920,"pc","pc","pc","pc","pc","pc",6
43500087,"pc","pc","pc","pc","pc","pc",6
43502138,"pc","pc","pc","pc","pc","",5
43534715,"pc","pc","pc","pc","pc","pc",6
43534734,"pc","pc","pc","pc","pc","pc",6
43535025,"","","pc","pc","pc","",3
43538884,"pc","pc","pc","pc","pc","pc",6
43546770,"pc","pc","pc","pc","pc","pc",6
43555681,"pc","pc","pc","pc","pc","pc",6
43562853,"pc","pc","pc","pc","pc","pc",6
43571892,"pc","pc","pc","pc","pc","pc",6
43576423,"","pc","pc","","pc","pc",4
43586244,"pc","pc","pc","","pc","pc",5
43586322,"pc","pc","ez","ez","ez","",5
43588449,"pc","pc","pc","pc","","pc",5
43611860,"pc","pc","pc","pc","pc","pc",6
43613194,"pc","pc","pc","pc","pc","pc",6
43617019,"pc","pc","","pc","pc","pc",5
43617951,"pc","pc","pc","pc","pc","",5
43627371,"pc","pc","pc","pc","pc","pc",6
43627393,"pc","pc","pc","pc","pc","pc",6
43635313,"pc","pc","pc","pc","pc","pc",6
43669252,"pc","pc","pc","pc","","",4
43705998,"pc","pc","pc","","pc","",4
43709254,"","","","","","pc",1
43728351,"pc","pc","pc","ez","pc","pc",6
43754904,"pc","pc","pc","pc","pc","pc",6
43846060,"","pc","pc","pc","","",3
46125732,"pc","pc","pc","pc","pc","pc",6
46130520,"pc","pc","pc","pc","pc","pc",6
46132439,"pc","pc","pc","pc","pc","pc",6
46138418,"pc","pc","pc","pc","pc","pc",6
50258819,"pc","pc","pc","pc","pc","pc",6
50258858,"pc","pc","pc","","pc","",4
50258871,"pc","pc","pc","pc","pc","pc",6
50258939,"pc","pc","pc","pc","pc","pc",6
50259094,"pc","pc","pc","pc","pc","pc",6
50259114,"pc","pc","pc","pc","pc","pc",6
50270834,"pc","pc","pc","","","",3
50283958,"pc","pc","pc","pc","pc","pc",6
50300152,"pc","pc","pc","pc","pc","pc",6
50309695,"pc","pc","pc","pc","pc","pc",6
50311985,"","pc","pc","pc","pc","pc",5
50312991,"pc","pc","pc","pc","pc","pc",6
50340202,"pc","pc","pc","pc","pc","",5
50340915,"pc","pc","pc","pc","pc","pc",6
50343709,"pc","pc","pc","pc","pc","pc",6
50351121,"pc","pc","pc","","","",3
50370157,"pc","pc","pc","pc","","",4
50370946,"pc","","pc","pc","pc","pc",5
50376075,"pc","pc","pc","pc","pc","pc",6
50380608,"pc","pc","pc","pc","pc","pc",6
50381201,"pc","pc","pc","pc","pc","pc",6
50383354,"pc","pc","pc","pc","pc","pc",6
50384495,"pc","pc","pc","pc","pc","pc",6
50386411,"pc","","pc","pc","","",3
50387218,"pc","pc","pc","pc","pc","pc",6
50394224,"pc","pc","pc","pc","pc","pc",6
50396559,"pc","pc","pc","pc","pc","pc",6
50432730,"","pc","pc","pc","pc","pc",5
50445955,"pc","pc","pc","pc","pc","pc",6
50448151,"pc","pc","pc","pc","pc","",5
50449399,"","pc","pc","pc","pc","pc",5
50450845,"pc","pc","","pc","","pc",4
50463993,"","","pc","pc","pc","pc",4
50466422,"pc","pc","pc","","pc","pc",5
50475365,"pc","pc","pc","pc","pc","pc",6
50486136,"pc","pc","pc","pc","pc","pc",6
50489479,"pc","pc","","pc","pc","",4
50495681,"pc","pc","pc","pc","pc","pc",6
50497260,"","","ez","ez","ez","ez",4
50513907,"pc","pc","pc","pc","pc","pc",6
50517863,"pc","pc","pc","pc","","pc",5
50519694,"pc","pc","pc","pc","","pc",5
50520256,"ez","pc","pc","pc","pc","pc",6
56015153,"pc","pc","pc","pc","pc","pc",6
56018801,"pc","pc","pc","pc","pc","pc",6
60646969,"","pc","pc","pc","pc","pc",5
60646974,"pc","pc","pc","pc","","pc",5
60646994,"pc","pc","pc","pc","pc","pc",6
60653158,"pc","pc","pc","pc","pc","pc",6
60676851,"pc","pc","pc","pc","pc","pc",6
60795640,"pc","pc","pc","pc","pc","pc",6
60801861,"pc","pc","pc","pc","pc","pc",6
60806128,"pc","pc","pc","pc","pc","pc",6
60813725,"pc","pc","pc","pc","pc","pc",6
60864050,"pc","pc","pc","pc","pc","pc",6
60876558,"pc","pc","pc","pc","pc","pc",6
60876677,"pc","pc","","pc","pc","pc",5
60890788,"pc","pc","pc","pc","pc","pc",6
60903918,"pc","pc","pc","pc","pc","pc",6
60906671,"pc","pc","pc","pc","pc","pc",6
60939659,"pc","","pc","pc","pc","pc",5
60954802,"pc","pc","pc","pc","","pc",5
60979507,"pc","pc","pc","pc","pc","pc",6
60993174,"pc","pc","pc","pc","","pc",5
61006312,"pc","pc","pc","pc","pc","",5
61008590,"pc","pc","pc","pc","pc","pc",6
61011060,"pc","pc","pc","pc","pc","pc",6
61021268,"pc","pc","pc","pc","pc","",5
61022915,"pc","pc","pc","pc","pc","pc",6
61045493,"","pc","pc","pc","","pc",4
61063650,"pc","pc","pc","pc","pc","pc",6
61064281,"pc","pc","pc","pc","pc","pc",6
61066148,"","pc","pc","pc","pc","pc",5
61172535,"pc","pc","pc","pc","pc","pc",6
61174074,"pc","pc","pc","pc","pc","pc",6
61193489,"pc","pc","pc","pc","pc","pc",6
61214680,"pc","pc","pc","pc","pc","pc",6
61230844,"pc","pc","pc","pc","pc","pc",6
61235451,"pc","","pc","pc","pc","pc",5
61258114,"pc","pc","pc","pc","pc","pc",6
61276156,"pc","","pc","pc","","pc",4
61322214,"pc","pc","","pc","","pc",4
61338915,"pc","pc","pc","pc","pc","pc",6
61353568,"pc","","pc","pc","pc","pc",5
61354643,"ez","ez","ez","ez","ez","pc",6
61356231,"","ez","pc","pc","pc","pc",5
61414605,"pc","pc","pc","pc","pc","pc",6
61419774,"pc","pc","pc","pc","pc","pc",6
61421651,"","pc","","pc","","",2
61421674,"pc","pc","pc","pc","","pc",5
61423446,"pc","pc","pc","pc","","pc",5
61423598,"pc","pc","pc","pc","pc","pc",6
61428945,"pc","pc","pc","pc","pc","pc",6
61440531,"pc","pc","pc","pc","","pc",5
61465129,"pc","pc","pc","","","",3
61466506,"pc","pc","pc","pc","pc","",5
61472525,"pc","pc","pc","pc","pc","pc",6
61473638,"pc","pc","pc","pc","pc","pc",6
61613212,"pc","pc","pc","pc","pc","pc",6
61618332,"pc","pc","pc","pc","pc","pc",6
61637790,"pc","pc","pc","pc","pc","pc",6
61665031,"pc","pc","pc","pc","pc","pc",6
61679818,"","pc","pc","","pc","pc",4
61683816,"pc","pc","pc","pc","pc","",5
61683983,"pc","pc","pc","pc","","",4
61697213,"pc","pc","pc","pc","pc","pc",6
61699332,"pc","pc","ez","ez","ez","ez",6
61714498,"pc","pc","pc","pc","pc","pc",6
61781093,"pc","pc","pc","pc","pc","pc",6
61804372,"pc","pc","pc","pc","","",4
66066491,"pc","pc","pc","pc","pc","pc",6
66071847,"pc","pc","pc","pc","pc","pc",6
100131835,"","pc","pc","pc","pc","pc",5
110017051,"pc","pc","pc","","pc","pc",5
111630919,"pc","pc","pc","pc","pc","pc",6
112137138,"pc","pc","","pc","pc","pc",5
112141197,"pc","pc","pc","pc","pc","pc",6
112221341,"pc","pc","pc","pc","pc","pc",6
112268359,"pc","pc","pc","pc","pc","pc",6
112325394,"pc","pc","pc","pc","pc","pc",6
112356150,"pc","pc","pc","pc","pc","pc",6
112375583,"pc","pc","pc","pc","pc","pc",6
112382250,"pc","pc","pc","pc","pc","pc",6
112412584,"","pc","","pc","pc","",3
112431586,"pc","pc","pc","pc","pc","pc",6
112435523,"pc","pc","pc","pc","pc","ez",6
112436149,"pc","pc","","pc","","pc",4
112438437,"pc","pc","pc","pc","","",4
112451752,"pc","pc","pc","pc","pc","pc",6
112453853,"pc","pc","pc","pc","pc","pc",6
112458675,"pc","pc","pc","pc","pc","pc",6
112475743,"pc","pc","pc","pc","pc","pc",6
112490986,"pc","pc","pc","pc","","pc",5
112498292,"ez","ez","ez","ez","","",4
112502832,"pc","pc","pc","pc","pc","pc",6
112526244,"pc","pc","pc","pc","pc","pc",6
112527097,"pc","pc","pc","pc","pc","pc",6
112527202,"","pc","pc","pc","","pc",4
112528786,"pc","pc","pc","pc","pc","pc",6
112534700,"pc","pc","pc","pc","pc","pc",6
112538550,"pc","pc","pc","pc","","pc",5
112554522,"pc","pc","pc","pc","pc","pc",6
112573432,"pc","pc","pc","pc","pc","pc",6
112575794,"pc","pc","pc","pc","","pc",5
112578155,"pc","","pc","pc","pc","",4
112594653,"pc","pc","pc","pc","pc","pc",6
112600290,"pc","pc","","pc","pc","pc",5
112603787,"pc","pc","pc","pc","pc","pc",6
112608983,"pc","pc","pc","pc","","pc",5
112612035,"pc","pc","pc","pc","pc","pc",6
112627786,"pc","pc","pc","pc","pc","pc",6
112647339,"pc","pc","pc","pc","pc","pc",6
112665181,"pc","pc","pc","pc","pc","pc",6
112683663,"pc","pc","pc","pc","pc","pc",6
112689903,"","pc","pc","pc","","pc",4
112710506,"pc","pc","pc","pc","pc","",5
112737223,"pc","pc","pc","pc","pc","pc",6
112739993,"pc","pc","pc","","pc","pc",5
112783877,"pc","pc","pc","pc","","pc",5
112799145,"pc","pc","pc","","pc","pc",5
112840553,"pc","pc","pc","pc","pc","pc",6
112848726,"pc","pc","pc","pc","pc","pc",6
112848938,"pc","","pc","pc","pc","pc",5
112857055,"pc","pc","pc","pc","pc","pc",6
112889068,"pc","pc","pc","pc","pc","pc",6
112890302,"pc","pc","pc","pc","pc","pc",6
112911043,"pc","pc","pc","pc","pc","pc",6
113013313,"pc","pc","pc","pc","pc","pc",6
113039699,"pc","pc","pc","pc","","pc",5
113048002,"pc","pc","pc","pc","pc","pc",6
113099604,"pc","pc","pc","pc","","pc",5
113132562,"pc","pc","pc","pc","pc","",5
113199716,"pc","pc","pc","pc","pc","pc",6
113204890,"pc","pc","pc","pc","pc","pc",6
113211896,"ez","ez","","ez","","",3
113250772,"pc","pc","pc","pc","pc","pc",6
113306111,"pc","pc","pc","pc","pc","pc",6
113312539,"pc","pc","pc","pc","pc","pc",6
113317234,"pc","pc","pc","pc","pc","pc",6
113317929,"pc","pc","pc","pc","pc","ez",6
113415840,"","pc","pc","pc","ez","ez",5
113422018,"pc","pc","pc","pc","pc","pc",6
113442366,"pc","pc","pc","pc","pc","pc",6
113458791,"pc","pc","ez","ez","ez","ez",6
113462888,"pc","pc","pc","pc","","pc",5
113580935,"pc","pc","pc","pc","pc","",5
113583988,"pc","","pc","","pc","pc",4
113603198,"pc","pc","pc","pc","pc","pc",6
113613094,"pc","pc","pc","pc","pc","pc",6
113633048,"pc","pc","pc","pc","pc","pc",6
113666873,"pc","pc","pc","pc","pc","pc",6
113669999,"pc","pc","pc","pc","","pc",5
113687996,"pc","pc","pc","pc","","pc",5
113700403,"pc","pc","pc","pc","pc","pc",6
113704014,"pc","pc","pc","pc","pc","pc",6
113754129,"pc","pc","pc","pc","pc","pc",6
113760490,"pc","pc","pc","","","",3
113801708,"pc","pc","pc","pc","pc","pc",6
116083182,"pc","pc","pc","pc","pc","pc",6
123799161,"pc","pc","","pc","pc","",4
131562242,"pc","pc","pc","pc","pc","pc",6
131624178,"pc","pc","pc","pc","pc","pc",6
131671035,"pc","pc","pc","pc","pc","pc",6
131919799,"pc","pc","pc","pc","pc","pc",6
131943516,"pc","pc","","pc","pc","pc",5
132564241,"pc","pc","pc","pc","pc","pc",6
132579051,"pc","pc","pc","pc","pc","pc",6
132617705,"pc","pc","pc","pc","pc","pc",6
132620861,"","pc","pc","","pc","pc",4
132666211,"pc","pc","pc","pc","pc","",5
132735378,"pc","pc","pc","pc","","pc",5
132736022,"pc","pc","pc","pc","","pc",5
132739938,"pc","pc","pc","pc","pc","pc",6
132742777,"pc","","pc","","","pc",3
132778910,"pc","pc","pc","pc","pc","pc",6
132802083,"pc","pc","pc","pc","","pc",5
132806160,"pc","pc","pc","pc","pc","pc",6
132834016,"pc","pc","pc","pc","pc","pc",6
132850133,"pc","pc","pc","pc","pc","pc",6
132851988,"pc","pc","pc","pc","pc","pc",6
132868189,"pc","pc","pc","pc","pc","pc",6
132875743,"pc","pc","pc","pc","pc","",5
132902798,"pc","pc","pc","pc","pc","pc",6
132922191,"pc","pc","pc","pc","pc","pc",6
132926433,"pc","pc","pc","pc","pc","pc",6
132934000,"pc","pc","pc","pc","pc","pc",6
132936066,"ez","","ez","ez","","",3
132938457,"pc","pc","pc","pc","pc","pc",6
132944013,"pc","pc","pc","pc","pc","pc",6
132950346,"pc","pc","pc","pc","pc","",5
132972415,"pc","pc","pc","pc","pc","pc",6
132976987,"pc","pc","pc","pc","pc","pc",6
132995128,"pc","pc","pc","pc","pc","pc",6
132997764,"pc","pc","pc","pc","pc","pc",6
133008492,"","ez","","ez","","",2
133010578,"pc","pc","pc","pc","pc","pc",6
133020589,"pc","pc","pc","pc","","pc",5
133022372,"pc","pc","pc","pc","pc","pc",6
133023179,"pc","pc","pc","pc","pc","pc",6
133023183,"pc","pc","pc","pc","pc","pc",6
133026182,"ez","pc","pc","pc","pc","pc",6
133028376,"pc","pc","pc","pc","pc","pc",6
133030229,"pc","pc","pc","pc","pc","pc",6
133032463,"pc","pc","pc","pc","pc","pc",6
133042012,"pc","pc","pc","pc","pc","pc",6
133076810,"pc","pc","pc","pc","pc","pc",6
133097905,"ez","pc","pc","pc","pc","pc",6
133098397,"pc","pc","pc","pc","pc","pc",6
133108035,"","pc","pc","pc","pc","pc",5
133110811,"pc","pc","pc","pc","pc","pc",6
133154100,"pc","pc","pc","pc","pc","pc",6
133160099,"pc","pc","pc","pc","pc","pc",6
133176586,"pc","pc","pc","pc","pc","pc",6
133176952,"pc","pc","pc","pc","pc","pc",6
133183344,"pc","pc","pc","pc","pc","pc",6
133187792,"pc","pc","pc","pc","pc","pc",6
133202014,"pc","pc","pc","pc","pc","pc",6
133203701,"pc","pc","pc","pc","pc","pc",6
133206603,"pc","pc","pc","pc","pc","pc",6
133212867,"pc","pc","pc","pc","pc","pc",6
133213525,"pc","","pc","pc","pc","pc",5
133224700,"pc","pc","pc","pc","pc","pc",6
133234441,"pc","pc","pc","pc","pc","pc",6
133248777,"pc","pc","pc","pc","pc","pc",6
133257307,"pc","pc","pc","pc","pc","pc",6
133281487,"pc","pc","pc","pc","pc","pc",6
133313856,"pc","pc","pc","pc","pc","pc",6
133402057,"","","","pc","","",1
133420753,"pc","pc","pc","pc","pc","",5
133421324,"pc","pc","pc","pc","pc","pc",6
133439109,"pc","pc","pc","pc","","pc",5
133463392,"pc","pc","pc","pc","","",4
133505123,"pc","pc","pc","pc","pc","pc",6
133514340,"ez","ez","ez","ez","","ez",5
133516262,"pc","pc","pc","pc","pc","pc",6
133518596,"pc","pc","pc","pc","pc","pc",6
133544227,"pc","pc","pc","pc","pc","",5
133556135,"pc","pc","pc","pc","pc","pc",6
133570544,"pc","pc","pc","pc","pc","pc",6
133582492,"pc","pc","pc","pc","pc","pc",6
133584089,"pc","pc","pc","pc","pc","pc",6
133591350,"pc","pc","pc","pc","pc","pc",6
133620671,"","pc","pc","pc","pc","pc",5
133627527,"pc","pc","pc","pc","","pc",5
133627750,"pc","pc","pc","pc","pc","pc",6
133635059,"pc","","pc","pc","","pc",4
