source_file,orgname,ein,id_2004,nccs_master_id,nccs_name,nccs_state,nccs_zip,year,ntee1,nteecc,latitude,longitude,nccs_address,City,State,Zip,_merge,dup
_09,SOUTHERN INDIANA HOMEOWNERSHIP INC,311222751,20115,,,,,,,,,,,,,,master only (1),0
_09,madison mutual housing association,391441302,13291,,,,,,,,,,,,,,master only (1),0
_09,north pullman development corporation,364241990,3912,,,,,,,,,,,,,,master only (1),0
_09,jubilee w,942793188,1510,,,,,,,,,,,,,,master only (1),0
_09,EARLY COUNTY COMMUNITY DEVELOPMENT CORPORATION,200397258,20067,,,,,,,,,,,,,,master only (1),0
_09,rural opportunities,205567064,8971,,,,,,,,,,,,,,master only (1),0
_09,S.W. LOUISIANA HOMELESS COALITION, 721293178,4818,,,,,,,,,,,,,,master only (1),0
_09,rockland community development council,132936066,8470,,,,,,,,,,,,,,master only (1),0
_09,wisconsin indian consortium,391334579,13283,,,,,,,,,,,,,,master only (1),0
_09,"PHASE: PIGGY BACK, INCORPORATED",132872457,8290,,,,,,,,,,,,,,master only (1),0
_09,"THE S.C.O.T.T. CONNECTION, INC.",510388094,2471,,,,,,,,,,,,,,master only (1),0
_09,DORCHESTER NONPROFIT HOUSING,237285820,13335,,,,,,,,,,,,,,master only (1),0
_09,GREATER WASHINGTON PARK CDC,364034004,3792,,,,,,,,,,,,,,master only (1),0
_09,BUILDING FUTURES: FAMILY AIDS HOUSING,521742956,2367,,,,,,,,,,,,,,master only (1),0
_09,MESSIAH CHURCH,042668533,5220,,,,,,,,,,,,,,master only (1),0
_09,three rivers community and economic development corporation,640846668,6785,,,,,,,,,,,,,,master only (1),0
_09,GULF COUNTY COMMUNITY DEVELOPMENT CORPORATION,593756882,20039,,,,,,,,,,,,,,master only (1),0
_09,martin county community action,560846044,7174,,,,,,,,,,,,,,master only (1),0
_09,GRAND ROCK COMMUNITY ECONOMIC DEVELOPMENT CORPORATION,431692215,6517,,,,,,,,,,,,,,master only (1),0
_09,impact seven,392025360,13356,,,,,,,,,,,,,,master only (1),0
_09,UNITED HOUSING AND EDUCATIONAL DEVELOPMENT,860661544,543,,,,,,,,,,,,,,master only (1),0
_09,WINSTANLEY/INDUSTRY PARK NEIGHBORHOOD,371311192,4018,,,,,,,,,,,,,,master only (1),0
_09,OPEN HANDS CDC,300013659,5774,,,,,,,,,,,,,,master only (1),0
_09,BEGINNING BRIDGE COMMUNITY DEVELOPMENT CORPORATION,200980012,20025,,,,,,,,,,,,,,master only (1),0
_09,silicon valley economic development corporation,942711851,1657,,,,,,,,,,,,,,master only (1),0
_09,LISBON AVENUE NEIGHBORHOOD DEVELOPMENT ASSOCIATION,391687569,13199,,,,,,,,,,,,,,master only (1),0
_09,new song urban ministries,521936186,5463,,,,,,,,,,,,,,master only (1),0
_09,community capital development corporation,381972338,5927,,,,,,,,,,,,,,master only (1),0
_09,MADDADS,650424874,2829,,,,,,,,,,,,,,master only (1),0
_09,growth international,364350025,4070,,,,,,,,,,,,,,master only (1),0
_09,southeast georgia communities project,582347258,18515,,,,,,,,,,,,,,master only (1),0
_09,frankfort housing redevelopment,611244158,4599,,,,,,,,,,,,,,master only (1),0
_09,rural opportunities,204439870,8971,,,,,,,,,,,,,,master only (1),0
_09,SCHOOLCRAFT ECONOMIC DEVELOPMENT CORPORATION,380787810,6180,,,,,,,,,,,,,,master only (1),0
_09,housing consortium,020469609,7553,,,,,,,,,,,,,,master only (1),0
_09,north athens concerned citizens,752416418,11615,,,,,,,,,,,,,,master only (1),0
_09,ARROWHEAD COMMUNITY ECONOMIC ASSISTANCE CORP.,411432042,6356,,,,,,,,,,,,,,master only (1),0
_09,OWSLEY COUNTY ACTION TEAM, 611282176,4635,,,,,,,,,,,,,,master only (1),0
_09,MADISON AVE. PRESBYTERIAN CHURCH DEVELOPMENT CORP.,521845646,5460,,,,,,,,,,,,,,master only (1),0
_09,CEDAR PARK NEIGHBORS,232044435,20291,,,,,,,,,,,,,,master only (1),0
_09,GREATER ROSELAND CDC,363915611,3764,,,,,,,,,,,,,,master only (1),0
_09,ST. JAMES COMMUNITY DEV.CORP.,223160109,7644,,,,,,,,,,,,,,master only (1),0
_09,ECUMENICAL HOUSING PRODUCTION,431313685,6563,,,,,,,,,,,,,,master only (1),0
_09,camacol loan fund,364342205,13518,,,,,,,,,,,,,,master only (1),0
_09,CASA DE NUEVA ESPERANZA,860603592,411,,,,,,,,,,,,,,master only (1),0
_09,NEIGHBORHOOD HOUSING SERVICES OF ST. JOSEPH, 431589977,6625,,,,,,,,,,,,,,master only (1),0
_09,new directions for downtown,561213512,7131,,,,,,,,,,,,,,master only (1),0
_09,DOWNTOWN HOUSING IMPROVEMENT CORP.,581483643,7081,,,,,,,,,,,,,,master only (1),0
_09,east central housing corporation,352017866,4288,,,,,,,,,,,,,,master only (1),0
_09,temple cdc,161575377,8889,,,,,,,,,,,,,,master only (1),0
_09,miles ahead,237374156,9496,,,,,,,,,,,,,,master only (1),0
_09,EAST PARK REVITILIZATION ALLIANCE,470911573,20292,,,,,,,,,,,,,,master only (1),0
_09,JEWISH FEDERATION HOUSING CORP,222137968,7768,,,,,,,,,,,,,,master only (1),0
_09,glades cdc,650498106,2815,,,,,,,,,,,,,,master only (1),0
_09,concord cdc,113211896,8525,,,,,,,,,,,,,,master only (1),0
_09,westside housing cooperative,391265899,13181,,,,,,,,,,,,,,master only (1),0
_09,lummi island community land trust,911931311,12954,,,,,,,,,,,,,,master only (1),0
_09,nhs of trenton,222246665,7884,,,,,,,,,,,,,,master only (1),0
_09,ESSEX COMMUNITY HERTAGE ORGANIZATION,237296305,8772,,,,,,,,,,,,,,master only (1),0
_09,elkhart housing partnership,351789408,4237,,,,,,,,,,,,,,master only (1),0
_09,tualatin valley housing partners,931152592,9963,,,,,,,,,,,,,,master only (1),0
_09,housing and economic resources for women,042900116,4936,,,,,,,,,,,,,,master only (1),0
_09,CHENE COMMUNITY PROVIDENCE ALLIANCE NONPROFIT HOUSING,383440948,20179,,,,,,,,,,,,,,master only (1),0
_09,ALLEGHANY HIGHLANDS HOUSING ALLIANCE,541687858,12709,,,,,,,,,,,,,,master only (1),0
_09,tulare economic development corporation,460451169,11213,,,,,,,,,,,,,,master only (1),0
_09,"CLERMONT 20/20, INC.",311307768,18528,,,,,,,,,,,,,,master only (1),0
_09,missoula housing corporation,810492300,6964,,,,,,,,,,,,,,master only (1),0
_09,CAMDEN/OUACHITA COUNTY CHDO,311692979,242,,,,,,,,,,,,,,master only (1),0
_09,impact seven,392041629,13356,,,,,,,,,,,,,,master only (1),0
_09,miami purchase preservation fund,310965523,9694,,,,,,,,,,,,,,master only (1),0
_09,AME EAST ORANGE COMMUNITY DEVELOPMENT CORP,311723069,11779,,,,,,,,,,,,,,master only (1),0
_09,CALVARY CME CHURCH,222524651,7676,,,,,,,,,,,,,,master only (1),0
_09,ECONOMIC OPPORTUNITIES CABINET OF SCHUYLKILL COUNTY,231412034,10465,,,,,,,,,,,,,,master only (1),0
_09,GREENSBORO EPISCOPAL HOUSING MINISTRY,561666018,7032,,,,,,,,,,,,,,master only (1),0
_09,SOUTH FLORIDA RESOURCE CONSERVATION AND DEVELOPMENT,650531530,2661,,,,,,,,,,,,,,master only (1),0
_09,community action project,113293012,8560,,,,,,,,,,,,,,master only (1),0
_09,AFFORDABLE HOMES OF MILLVILLE,223150733,7839,,,,,,,,,,,,,,master only (1),0
_09,RANDOLPH NEIGHBORHOOD,222543771,12737,,,,,,,,,,,,,,master only (1),0
_09,MOUNT OLIVE A.M.E CHURCH,521761439,5549,,,,,,,,,,,,,,master only (1),0
_09,latino community land trust,222659744,7873,,,,,,,,,,,,,,master only (1),0
_09,EBENEZER COMMUNITY AND ECONOMIC DEVELOPMENT CORPORATION,223628388,20261,,,,,,,,,,,,,,master only (1),0
_09,commonwealth housing corporation,541921358,11838,,,,,,,,,,,,,,master only (1),0
_09,"WILLIAMSBURG ENTERPRISE COMMUNITY COMMISSION, INC.",571020951,11024,,,,,,,,,,,,,,master only (1),0
_09,"NEW HOPE CHURCH / NEIGHBORHOOD RENEWAL, INC.",251843827,10201,,,,,,,,,,,,,,master only (1),0
_09,BELLE FOURCHE ECONOMIC DEVELOPMENT CORPORATION,460358355,11262,,,,,,,,,,,,,,master only (1),0
_09,rural opportunities,161442543,8971,,,,,,,,,,,,,,master only (1),0
_09,"NHS OF LAFAYETTE, INC.",720952254,4797,,,,,,,,,,,,,,master only (1),0
_09,wheeling neighborhood ventures,550757910,13456,,,,,,,,,,,,,,master only (1),0
_09,tawawa cdc,311784945,9742,,,,,,,,,,,,,,master only (1),0
_09,NEW HOPE COMMUNITY DEVELOPMENT CORPORATION,721283893,4838,,,,,,,,,,,,,,master only (1),0
_09,hunting park cdc,232150922,10668,,,,,,,,,,,,,,master only (1),0
_09,ST. PAUL COALITION FOR COMMUNITY,411677079,6255,,,,,,,,,,,,,,master only (1),0
_09,friends of the homeless,541430573,12628,,,,,,,,,,,,,,master only (1),0
_09,dallas affordable housing coalition,752627012,13606,,,,,,,,,,,,,,master only (1),0
_09,river e economic revitalization corporation,341249823,9192,,,,,,,,,,,,,,master only (1),0
_09,NORTHEAST CDC,411400856,6342,,,,,,,,,,,,,,master only (1),0
_09,NARANJA-PRINCETON CDC,311533092,2659,,,,,,,,,,,,,,master only (1),0
_09,home rehabilitation and development,593658426,2567,,,,,,,,,,,,,,master only (1),0
_09,valley cdc,640923206,6786,,,,,,,,,,,,,,master only (1),0
_09,miracle makers,113304320,8528,,,,,,,,,,,,,,master only (1),0
_09,somerset civic association,311138211,9137,,,,,,,,,,,,,,master only (1),0
_09,greater calvary cdc,562313485,10335,,,,,,,,,,,,,,master only (1),0
_09,DELL RAPIDS DEVELOPMENT CORPORATION,460385169,11085,,,,,,,,,,,,,,master only (1),0
_09,MORELAND COMMUNITY ASSOCIATION,341781285,9476,,,,,,,,,,,,,,master only (1),0
_09,FILLMORE LEROY AREA RESIDENTS (FLARE),521046590,8913,,,,,,,,,,,,,,master only (1),0
_09,"COMMUNITIES LAND TRUST, INC.",223021960,5063,,,,,,,,,,,,,,master only (1),0
_09,north hartford development corporation,223047690,2084,,,,,,,,,,,,,,master only (1),0
_09,christian cdc,311345303,9062,,,,,,,,,,,,,,master only (1),0
_09,carlisle housing opportunities corporation,232886888,10363,,,,,,,,,,,,,,master only (1),0
_09,KENWOOD OAKLAND DEVELOPMENT CORPORATION,363297768,3890,,,,,,,,,,,,,,master only (1),0
_09,METROPOLITAN COMMUNITY ECONOMIC DEVELOPMENT ORGANIZATION,760601890,11735,,,,,,,,,,,,,,master only (1),0
_09,MARK TWAIN RURAL DEVELOPMENT/SELF HELP,431269824,6583,,,,,,,,,,,,,,master only (1),0
_09,SELBY AREA CDC,411665278,6239,,,,,,,,,,,,,,master only (1),0
_09,national united methodist native american center,731358864,984,,,,,,,,,,,,,,master only (1),0
_09,RURAL IOWA,421520441,3342,,,,,,,,,,,,,,master only (1),0
_09,nhs of america,237448104,1552,,,,,,,,,,,,,,master only (1),0
_09,SOUTHWESTERN CDC,331004547,7246,,,,,,,,,,,,,,master only (1),0
_09,phillips neighborhood housing trust,411400627,6312,,,,,,,,,,,,,,master only (1),0
_09,COPPER COMMUNITIES RESOURCE AND DEVELOPMENT INC,860351343,466,,,,,,,,,,,,,,master only (1),0
_09,ARKANSAS DELTA HOUSING DEVELOPMENT CORPORATION,710549008,323,,,,,,,,,,,,,,master only (1),0
_09,NINTH WARD DEVELOPMENT CORP,720696316,4723,,,,,,,,,,,,,,master only (1),0
_09,community development center,237248657,9181,,,,,,,,,,,,,,master only (1),0
_09,HILL NEIGHBORHOOD ASSOCIATION,232088138,10496,,,,,,,,,,,,,,master only (1),0
_09,"THE GENESIS GROUP, INCORPORATED",522009128,5286,,,,,,,,,,,,,,master only (1),0
_09,rural opportunities,050575745,8971,,,,,,,,,,,,,,master only (1),0
_09,maetrice development corporation,050546357,9063,,,,,,,,,,,,,,master only (1),0
_09,"HOME TEAM, INC.",223344826,7852,,,,,,,,,,,,,,master only (1),0
_09,cincinnati housing partners,311160146,9685,,,,,,,,,,,,,,master only (1),0
_09,JIREH DEVELOPMENT CORPORATION,311401436,9731,,,,,,,,,,,,,,master only (1),0
_09,green river housing corporation,311096608,4676,,,,,,,,,,,,,,master only (1),0
_09,COMMUNITY HOUSING RESOURCES OF ARIZONA,860627789,418,,,,,,,,,,,,,,master only (1),0
_09,BRONX HEIGHTS NEIGHBORHOOD COMMUNITY CORP.,132883903,8351,,,,,,,,,,,,,,master only (1),0
_09,episcopal community housing development organization,223471028,8909,,,,,,,,,,,,,,master only (1),0
_09,westside christian community builders,841445620,1903,,,,,,,,,,,,,,master only (1),0
_09,new community development group,650639778,2793,,,,,,,,,,,,,,master only (1),0
_09,hope house of cherokee county,731361005,9931,,,,,,,,,,,,,,master only (1),0
_09,CREST HOUSING CORPORATION,223549829,7632,,,,,,,,,,,,,,master only (1),0
_09,NORTHEAST OREGON BUSINESS DEVELOPMENT,931160339,10148,,,,,,,,,,,,,,master only (1),0
_09,st josephs housing corporation,222428275,8707,,,,,,,,,,,,,,master only (1),0
_09,enterprise community fund,311493528,9526,,,,,,,,,,,,,,master only (1),0
_09,housing opportunity,581860719,3095,,,,,,,,,,,,,,master only (1),0
_09,NORTH DELTA EC,640872948,6723,,,,,,,,,,,,,,master only (1),0
_09,impact seven,470947828,13356,,,,,,,,,,,,,,master only (1),0
_09,NEW HORIZON CHURCH AND ITS MINISTRIES,710710338,245,,,,,,,,,,,,,,master only (1),0
_09,cuba cdc,161165275,9004,,,,,,,,,,,,,,master only (1),0
_09,cogic cdc,223681805,7760,,,,,,,,,,,,,,master only (1),0
_09,CORNERSTONE ASSISTANCE FOUNDATION,721288368,4874,,,,,,,,,,,,,,master only (1),0
_09,snyderville cdc,232460569,10710,,,,,,,,,,,,,,master only (1),0
_09,islandview village development corporation,383053029,5815,,,,,,,,,,,,,,master only (1),0
_09,METRO-BROWARD ECONOMIC DEVELOPMENT CORP.,650200546,2771,,,,,,,,,,,,,,master only (1),0
_09,HOUSING ASSISTANCE CORPORATION,521184478,5434,,,,,,,,,,,,,,master only (1),0
_09,VALLEY RESTORATION LDC,133008492,8251,,,,,,,,,,,,,,master only (1),0
_09,twilight dawn,860747692,590,,,,,,,,,,,,,,master only (1),0
_09,BAYOU LANDS HOUSING DEVELOPMENT ORGANIZATION,721266908,4776,,,,,,,,,,,,,,master only (1),0
_09,atlantic human resources,221761486,7851,,,,,,,,,,,,,,master only (1),0
_09,traverse bay economic development corporation,382846509,6145,,,,,,,,,,,,,,master only (1),0
_09,lycoming neighborhood development corporation,231721709,10445,,,,,,,,,,,,,,master only (1),0
_09,DAY COUNTY COMMUNITY DEVELOPMENT,454845530,11156,,,,,,,,,,,,,,master only (1),0
_09,"ASSOCIATED HOUSING & ECONOMIC DEVELOPMENT, INC.",743152392,20073,,,,,,,,,,,,,,master only (1),0
_09,VOLUNTEERS OF AMERICA GREATER NEW YORK,581959781,8238,,,,,,,,,,,,,,master only (1),0
_09,cornerstone,521772313,2429,,,,,,,,,,,,,,master only (1),0
_09,impact seven,391957514,13356,,,,,,,,,,,,,,master only (1),0
_09,bordeaux cdc,621762118,11330,,,,,,,,,,,,,,master only (1),0
_09,community empowerment organization,223366365,7684,,,,,,,,,,,,,,master only (1),0
_09,COOPERATIVE RESOURCE CENTER,521134946,3001,,,,,,,,,,,,,,master only (1),0
_09,nassau county cdc,592014562,2503,,,,,,,,,,,,,,master only (1),0
_09,hina malailena,990269867,3198,,,,,,,,,,,,,,master only (1),0
_09,"PARK PLACE REDEVELOPMENT FOUNDATION, INCORPORATED",541323229,12616,,,,,,,,,,,,,,master only (1),0
_09,UNIVERSITY CITY COMMUNITY DEVELOPMENT CORPORATION,562147363,7230,,,,,,,,,,,,,,master only (1),0
_09,PARTNERSHIP FOR NEIGHBORHOOD IMPROVEMENT,621605975,11388,,,,,,,,,,,,,,master only (1),0
_09,CHESTER COUNTY HOUSING DEVELOPMENT CORPORATION,232330706,10719,,,,,,,,,,,,,,master only (1),0
_09,DISTRICT HEIGHTS C.D.C.,522119065,5298,,,,,,,,,,,,,,master only (1),0
_09,racine housing and neighborhood partnership,391955463,13268,,,,,,,,,,,,,,master only (1),0
_09,interfaith cdc,232425144,10732,,,,,,,,,,,,,,master only (1),0
_09,EAST FULTON STREET REVITALIZATION CORPORATION,112959252,8570,,,,,,,,,,,,,,master only (1),0
_09,EDCNP,231652755,10501,,,,,,,,,,,,,,master only (1),0
_09,CHS OF WICHITA/SEDGWICK COUNTY,481169667,4497,,,,,,,,,,,,,,master only (1),0
_09,IN-TOUCH MINISTRIES,541630836,12572,,,,,,,,,,,,,,master only (1),0
_09,impact seven,412071487,13356,,,,,,,,,,,,,,master only (1),0
_09,"NORTH CHARLESTON HOUSING CORP, INC",570788508,11000,,,,,,,,,,,,,,master only (1),0
_09,soledad local development corporation,942206734,1319,,,,,,,,,,,,,,master only (1),0
_09,germantown settlement,231360850,10690,,,,,,,,,,,,,,master only (1),0
_09,LACKAWANNA HOUSING DEVELOPMENT CORP,232622781,10492,,,,,,,,,,,,,,master only (1),0
_09,CLARETIAN ASSOCIATES/NHS,364087259,3687,,,,,,,,,,,,,,master only (1),0
_09,bagley housing association,382896273,5825,,,,,,,,,,,,,,master only (1),0
_09,PLBA HOUSING DEVELOPMENT CORPORATION,161729994,131,,,,,,,,,,,,,,master only (1),0
_09,"PEABODY HOUSE, INC",010484654,5604,,,,,,,,,,,,,,master only (1),0
_09,NHS ST. JOSEPH,431589977,6659,,,,,,,,,,,,,,master only (1),0
_09,affordable housing initiatives,232761724,10515,,,,,,,,,,,,,,master only (1),0
_09,callao community building corporation,431118345,6586,,,,,,,,,,,,,,master only (1),0
_09,oliver community association,521099392,5435,,,,,,,,,,,,,,master only (1),0
_09,co op initiatives,222988992,2062,,,,,,,,,,,,,,master only (1),0
_09,LAFOURCHE COMMUNITY HOUSING DEVELOPMENT ORG,721276805,4772,,,,,,,,,,,,,,master only (1),0
_09,assets montco,232903151,10724,,,,,,,,,,,,,,master only (1),0
_09,ECONOMIC DEVELOPMENT CORPORATION,752556093,11619,,,,,,,,,,,,,,master only (1),0
_09,CHARLTON - POLLARD NEIGHBORHOOD ASSOCIATION,760572902,11956,,,,,,,,,,,,,,master only (1),0
_09,"LAKESIDE CENTER, INC",760305714,11943,,,,,,,,,,,,,,master only (1),0
_09,eastern kansas economic development group,480997376,4487,,,,,,,,,,,,,,master only (1),0
_09,LIBERTY STATION INC,203344057,20157,,,,,,,,,,,,,,master only (1),0
_09,PROYECTO FE Y ESPERANZA,742623150,12108,,,,,,,,,,,,,,master only (1),0
_09,CORINTHIAN DEVELOPMENT/GROUP SERVICE,386095279,5802,,,,,,,,,,,,,,master only (1),0
_09,assets toledo,311656341,9225,,,,,,,,,,,,,,master only (1),0
_09,ECONOMIC GROWTH CENTERS,363369091,20223,,,,,,,,,,,,,,master only (1),0
_09,ya ka ama indian education and development,237130295,1711,,,,,,,,,,,,,,master only (1),0
_09,TEXAS SOUTHERN UNIV./THIRD WARD CDC,760474951,11884,,,,,,,,,,,,,,master only (1),0
_09,SOUTH BRONX CHURCHES,136987744,8360,,,,,,,,,,,,,,master only (1),0
_09,eastern philadelphia organizing project,232813744,10637,,,,,,,,,,,,,,master only (1),0
_09,ST STEPHENS COMMUNITY HOMES REVITALIZATION CORP,311412336,9096,,,,,,,,,,,,,,master only (1),0
_09,TYLER COMMUNITY HOMES/PATH,043755152,11612,,,,,,,,,,,,,,master only (1),0
_09,christina mutual housing association,223202174,7705,,,,,,,,,,,,,,master only (1),0
_09,INDEPENDENT RESIDENTIAL LIVING OF CENTRAL INDIANA INC,743060874,20100,,,,,,,,,,,,,,master only (1),0
_09,region iv development association,820311062,3421,,,,,,,,,,,,,,master only (1),0
_09,greater hilltop cdc,311229469,9067,,,,,,,,,,,,,,master only (1),0
_09,GRUENING PARK APARTMENTS,237121924,61,,,,,,,,,,,,,,master only (1),0
_09,emmanuel community house,382905856,5760,,,,,,,,,,,,,,master only (1),0
_09,EASTSIDE COMMUNITY CENTER OF ROCHESTER INC.,237126816,8976,,,,,,,,,,,,,,master only (1),0
_09,millville development corporation,223304583,7843,,,,,,,,,,,,,,master only (1),0
_09,SAFEHAVEN DEVELOPMENT ASSC.,943152367 ,13005,,,,,,,,,,,,,,master only (1),0
_09,westfield cdc,043218918,4946,,,,,,,,,,,,,,master only (1),0
_09,arch training center,521514297,2410,,,,,,,,,,,,,,master only (1),0
_09,mount hope neighborhood land trust,223080055,10891,,,,,,,,,,,,,,master only (1),0
_09,HIDALGO AREA ECON DEV. CORP.,237230044,8046,,,,,,,,,,,,,,master only (1),0
_09,NEIGHBORHOOD ECONOMIC AND EDUCATIONAL DEVELOPMENT (NEED),954388264,795,,,,,,,,,,,,,,master only (1),0
_09,glenville development corporation,341307536,9334,,,,,,,,,,,,,,master only (1),0
_09,AFFORDABLE HOUSING ALLIANCE,521878564,5364,,,,,,,,,,,,,,master only (1),0
_09,WESTSIDE CONSERVATION CORP,391306284,13208,,,,,,,,,,,,,,master only (1),0
_09,OLDE HUNTERSVILLE COMMUNITY DEVELOPMENT CORP.,541288542,12613,,,,,,,,,,,,,,master only (1),0
_09,maumee valley planning organization,237279954,18529,,,,,,,,,,,,,,master only (1),0
_09,GRAND OAK HILL COMMUNITY CORPORATION,237285827,6548,,,,,,,,,,,,,,master only (1),0
_09,harlem park revitalization corporation,521387896,5499,,,,,,,,,,,,,,master only (1),0
_09,cdc of butler county,256063711,10295,,,,,,,,,,,,,,master only (1),0
_09,SICHA,820326794,3446,,,,,,,,,,,,,,master only (1),0
_09,SKAGIT HOUSING SOLUTIONS,911641444,12957,,,,,,,,,,,,,,master only (1),0
_09,IRENE DEVELOPMENT CORPORATION,900108092,11097,,,,,,,,,,,,,,master only (1),0
_09,REVIVED QUACHITA INDIANS OF ARKANSAS AND AMERICA,710725816,264,,,,,,,,,,,,,,master only (1),0
_09,FLATWOODS COMMUNITY BASED DEVELOPMENT CORP,611234479,4613,,,,,,,,,,,,,,master only (1),0
_09,"PROCEED, INC.",311709249,7665,,,,,,,,,,,,,,master only (1),0
_09,WASHINGTON COUNTY UNION FOR PROGRESS,640605376,6755,,,,,,,,,,,,,,master only (1),0
_09,mexicantown cdc,383010365,5788,,,,,,,,,,,,,,master only (1),0
_09,CHARLESTON ECONOMIC COMMUNITY DEVELOPMENT CORPORATION,550663252,13418,,,,,,,,,,,,,,master only (1),0
_09,berkeley dorchester counties economic development corporation,570478665,11008,,,,,,,,,,,,,,master only (1),0
_09,south valley development,770480423,1257,,,,,,,,,,,,,,master only (1),0
_09,NORTHWEST NEW MEXICO FIGHTING BACK,850407345,7993,,,,,,,,,,,,,,master only (1),0
_09,lawrence county family center,251753243,10304,,,,,,,,,,,,,,master only (1),0
_09,greater macon housing corporation,581498688,3140,,,,,,,,,,,,,,master only (1),0
_09,community directed ownership,133719001,8235,,,,,,,,,,,,,,master only (1),0
_09,VIRGINIA PARK/HENRY FORD HOSPITAL NONPROFIT HOUSING CORPORATION,382098972,5758,,,,,,,,,,,,,,master only (1),0
_09,PARTNERS IN HOUSING,770376937,1226,,,,,,,,,,,,,,master only (1),0
_09,cuyuna range economic development,411450001,6448,,,,,,,,,,,,,,master only (1),0
_09,dunbar economic development corporation,954179962,649,,,,,,,,,,,,,,master only (1),0
_09,rural opportunities,251653975,8971,,,,,,,,,,,,,,master only (1),0
_09,BETHEL HOUSING DEVELOPMENT CORP,880325422,8096,,,,,,,,,,,,,,master only (1),0
_09,rural members association,630972508,123,,,,,,,,,,,,,,master only (1),0
_09,connections for community ownership,364357531,13604,,,,,,,,,,,,,,master only (1),0
_09,grinnell area housing,237356791,3294,,,,,,,,,,,,,,master only (1),0
_09,"COLOR COUNTRY COMMUNITY HOUSING, INC.",870617908,12418,,,,,,,,,,,,,,master only (1),0
_09,we help cdc,311496789,2819,,,,,,,,,,,,,,master only (1),0
_09,enterprise development center of erie county,251524446,10340,,,,,,,,,,,,,,master only (1),0
_09,peninsula cdc,931125707,9989,,,,,,,,,,,,,,master only (1),0
_09,MONROE COUNTY COMMUNITY SERVICES,550569261,13395,,,,,,,,,,,,,,master only (1),0
_09,BOZEMAN INTERFAITH HOUSING,810485343,6956,,,,,,,,,,,,,,master only (1),0
_09,impact seven,392025356,13356,,,,,,,,,,,,,,master only (1),0
_09,ILLINOIS DEVELOPMENT CORPORATION,371170806,4004,,,,,,,,,,,,,,master only (1),0
_09,economic council of okeechobee county,650174688,2960,,,,,,,,,,,,,,master only (1),0
_09,tioga county development corporation,251660990,10359,,,,,,,,,,,,,,master only (1),0
_09,"OPERATION GRACE, INC.",330556421,1161,,,,,,,,,,,,,,master only (1),0
_09,KEYSVILLE CONCERNED CITIZENS,261447114,3114,,,,,,,,,,,,,,master only (1),0
_09,SOUTHSIDE CDC,562076011,7011,,,,,,,,,,,,,,master only (1),0
_09,brattleboro development credit corporation,036010485,12750,,,,,,,,,,,,,,master only (1),0
_09,FLORIDA THREE RIVERS RESOURCE CONSERVATION AND DEVELOPMENT C,592989537,2591,,,,,,,,,,,,,,master only (1),0
_09,fair lending coalition,391748038,13198,,,,,,,,,,,,,,master only (1),0
_09,community partnership development corporation,330592962,966,,,,,,,,,,,,,,master only (1),0
_09,brethren community ministries,251855442,10382,,,,,,,,,,,,,,master only (1),0
_09,he loves you ministry,351878483,4251,,,,,,,,,,,,,,master only (1),0
_09,AVON AREA DEVELOPMENT INC,460356449,11161,,,,,,,,,,,,,,master only (1),0
